,date,open,high,low,close,volume,average,barCount
808,2020-02-10,3318.28,3352.09,3317.77,3352.09,0,0.0,19145
809,2020-02-11,3365.87,3375.63,3352.72,3357.75,0,0.0,20295
810,2020-02-12,3370.5,3381.47,3369.72,3379.45,0,0.0,19401
811,2020-02-13,3365.9,3385.09,3360.52,3373.94,0,0.0,19903
812,2020-02-14,3378.08,3380.69,3366.15,3380.16,0,0.0,19217
813,2020-02-18,3369.04,3375.01,3355.61,3370.29,0,0.0,19504
814,2020-02-19,3380.39,3393.52,3378.83,3386.15,0,0.0,18632
815,2020-02-20,3380.45,3389.15,3341.02,3373.23,0,0.0,20594
816,2020-02-21,3360.5,3360.76,3328.45,3337.75,0,0.0,20503
817,2020-02-24,3257.61,3259.81,3214.65,3225.89,0,0.0,21571
818,2020-02-25,3238.94,3246.99,3118.77,3128.21,0,0.0,22349
819,2020-02-26,3139.9,3182.51,3108.99,3116.39,0,0.0,22173
820,2020-02-27,3062.54,3097.07,2978.19,2978.76,0,0.0,22579
821,2020-02-28,2916.9,2959.72,2855.84,2954.22,0,0.0,22890
822,2020-03-02,2974.28,3090.24,2945.19,3090.23,0,0.0,22523
823,2020-03-03,3096.46,3136.72,2976.63,3003.37,0,0.0,22791
824,2020-03-04,3045.75,3130.97,3034.38,3130.12,0,0.0,22072
825,2020-03-05,3075.7,3083.04,2999.83,3023.94,0,0.0,22322
826,2020-03-06,2954.2,2985.93,2901.54,2972.37,0,0.0,22603
827,2020-03-09,2863.89,2863.89,2734.43,2746.56,0,0.0,21856
828,2020-03-10,2813.48,2882.23,2734.0,2882.23,0,0.0,22867
829,2020-03-11,2825.6,2825.6,2707.22,2741.38,0,0.0,22770
830,2020-03-12,2630.86,2660.95,2478.86,2480.64,0,0.0,22055
831,2020-03-13,2569.99,2711.02,2492.37,2711.02,0,0.0,22884
832,2020-03-16,2508.59,2562.98,2380.94,2386.13,0,0.0,22022
833,2020-03-17,2425.66,2553.93,2367.04,2529.19,0,0.0,22920
834,2020-03-18,2436.5,2453.57,2280.52,2398.1,0,0.0,22126
835,2020-03-19,2393.48,2466.97,2319.78,2409.39,0,0.0,22916
836,2020-03-20,2431.94,2453.01,2295.56,2304.92,0,0.0,22911
837,2020-03-23,2290.71,2300.73,2191.86,2237.4,0,0.0,23038
838,2020-03-24,2344.44,2449.71,2344.44,2447.33,0,0.0,22827
839,2020-03-25,2457.77,2571.42,2407.53,2475.56,0,0.0,22933
840,2020-03-26,2501.29,2637.01,2500.72,2630.07,0,0.0,22827
841,2020-03-27,2555.87,2615.91,2520.02,2541.47,0,0.0,22651
842,2020-03-30,2558.98,2631.8,2545.28,2626.65,0,0.0,22558
843,2020-03-31,2614.69,2641.39,2571.15,2584.59,0,0.0,22597
844,2020-04-01,2498.08,2522.75,2447.49,2470.5,0,0.0,22437
845,2020-04-02,2458.54,2533.22,2455.79,2526.9,0,0.0,22608
846,2020-04-03,2514.92,2538.18,2459.96,2488.65,0,0.0,22280
847,2020-04-06,2578.28,2676.85,2574.57,2663.68,0,0.0,21928
848,2020-04-07,2738.65,2756.89,2657.67,2659.41,0,0.0,22575
849,2020-04-08,2685.0,2760.75,2663.3,2749.98,0,0.0,22116
850,2020-04-09,2776.99,2818.57,2762.36,2789.82,0,0.0,22455
851,2020-04-13,2782.46,2782.46,2721.17,2761.63,0,0.0,21971
852,2020-04-14,2805.1,2851.85,2805.1,2846.06,0,0.0,21901
853,2020-04-15,2795.64,2801.88,2761.54,2783.36,0,0.0,21897
854,2020-04-16,2799.34,2806.51,2764.32,2799.55,0,0.0,22123
855,2020-04-17,2842.43,2879.22,2830.88,2874.56,0,0.0,21711
856,2020-04-20,2845.62,2868.98,2820.43,2823.16,0,0.0,21712
857,2020-04-21,2784.81,2785.54,2727.1,2736.56,0,0.0,22221
858,2020-04-22,2787.89,2815.1,2775.95,2799.31,0,0.0,21254
859,2020-04-23,2810.42,2844.9,2794.26,2797.8,0,0.0,21686
860,2020-04-24,2812.64,2842.71,2791.76,2836.74,0,0.0,21185
861,2020-04-27,2854.65,2887.72,2852.89,2878.48,0,0.0,21052
862,2020-04-28,2909.96,2921.15,2860.71,2863.39,0,0.0,21566
863,2020-04-29,2918.46,2954.86,2912.16,2939.51,0,0.0,21474
864,2020-04-30,2930.91,2930.91,2892.47,2912.43,0,0.0,21825
